B,seed,kappa,delta,alpha,T_eff
512,0,30.593711853027344,0.4904325604438782,0.7124675008793228,7.701432269691111e-10
512,1,41.14146423339844,0.4980475902557373,0.6970596437607873,1.4198128228670726e-09
512,2,11.34968090057373,0.4938625693321228,0.7054980002314817,4.358319216635209e-08
512,3,10.553816795349121,0.49988529086112976,0.6933766251580825,1.3642026885918312e-07
512,4,9.15849781036377,0.48607850074768066,0.7213851439530833,4.3785801651097245e-09
512,5,21.485502243041992,0.4969194531440735,0.6993273321281412,4.41026699604663e-08
512,6,40.21435546875,0.4991750717163086,0.694798399639512,1.656504622360444e-07
512,7,15.882328987121582,0.49362361431121826,0.7059819665482294,6.587782053202318e-08
512,8,18.098480224609375,0.49469947814941406,0.7038048156319594,3.833196160485386e-08
512,9,5.25349235534668,0.4832197427749634,0.7272837748043167,3.0580576959593486e-10
512,10,30.043725967407227,0.4955015778541565,0.7021847408495409,1.939803873085566e-08
512,11,12.619542121887207,0.49681997299194336,0.6995275458860862,1.484852019117966e-09
512,12,12.873418807983398,0.49201270937919617,0.7092507307519322,1.1246771691730828e-07
512,13,17.760284423828125,0.49644899368286133,0.7002745325307494,1.9049335264753608e-07
512,14,14.148110389709473,0.49446403980255127,0.7042808508820186,5.976748695957212e-08
512,15,14.644373893737793,0.4933101534843445,0.7066171881763519,6.940906072117059e-09
512,16,8.714261054992676,0.49839556217193604,0.6963612156979399,9.426415914504105e-08
512,17,1.0,0.49882155656814575,0.6955068492533274,5.866758467920619e-11
512,18,inf,0.49295496940612793,0.7073374490581941,1.2005153815497493e-11
512,19,10.805750846862793,0.4998975396156311,0.6933521223278106,1.6703259220207656e-08
512,20,14.45910930633545,0.492522269487381,0.7082156021589988,1.8110245747493536e-08
512,21,inf,0.496168851852417,0.7008389830675643,1.0266922945492696e-13
512,22,7.323573589324951,0.48614639043807983,0.721245485544571,3.2184013787350807e-10
512,23,1.0,0.4984453320503235,0.6962613604879113,3.75041490918715e-11
512,24,12.318482398986816,0.49127644300460815,0.7107482892481365,3.376579016389769e-09
512,25,15.529459953308105,0.4936484694480896,0.7059316154093986,9.235255049588886e-08
512,26,inf,0.4907039999961853,0.711914184307141,6.376129279509618e-14
512,27,16.031658172607422,0.4953047037124634,0.7025821427391874,9.003120027273326e-09
512,28,11.062508583068848,0.4746902287006378,0.7450928377937914,3.836829876036063e-08
512,29,18.925790786743164,0.4956466555595398,0.7018919941109028,1.1052495807462037e-08
